Reporter Countries,Partner Countries,Value
Afghanistan,Algeria,5.0
Afghanistan,Armenia,1.0
Afghanistan,Australia,117.0
Afghanistan,Austria,80.0
Afghanistan,Barbados,15.0
Afghanistan,Belarus,759.0
Afghanistan,Belgium,33.0
Afghanistan,Bosnia and Herzegovina,2.0
Afghanistan,Canada,1827.0
Afghanistan,"China, Hong Kong SAR",7.0
Afghanistan,"China, mainland",234.0
Afghanistan,Denmark,98.0
Afghanistan,Egypt,326.0
Afghanistan,Finland,1.0
Afghanistan,France,248.0
Afghanistan,Germany,4932.0
Afghanistan,Guatemala,27.0
Afghanistan,India,276731.0
Afghanistan,Iran (Islamic Republic of),9989.0
Afghanistan,Italy,373.0
Afghanistan,Japan,41.0
Afghanistan,Jordan,938.0
Afghanistan,Kazakhstan,1695.0
Afghanistan,Kuwait,160.0
Afghanistan,Kyrgyzstan,28.0
Afghanistan,Lebanon,190.0
Afghanistan,Malaysia,308.0
Afghanistan,Mongolia,1.0
Afghanistan,Netherlands,526.0
Afghanistan,New Zealand,28.0
Afghanistan,Norway,41.0
Afghanistan,Oman,2.0
Afghanistan,Pakistan,216091.0
Afghanistan,Portugal,388.0
Afghanistan,Republic of Moldova,49.0
Afghanistan,Romania,94.0
Afghanistan,Russian Federation,1793.0
Afghanistan,Senegal,7.0
Afghanistan,Singapore,3.0
Afghanistan,South Africa,1.0
Afghanistan,Sri Lanka,79.0
Afghanistan,Sweden,86.0
Afghanistan,Switzerland,167.0
Afghanistan,Tunisia,85.0
Afghanistan,Turkey,7312.0
Afghanistan,Ukraine,52.0
Afghanistan,United Kingdom,404.0
Afghanistan,United Republic of Tanzania,4.0
Afghanistan,United States of America,2007.0
Albania,Algeria,116.0
Albania,Argentina,8.0
Albania,Australia,379.0
Albania,Austria,2257.0
Albania,Barbados,14.0
Albania,Belarus,197.0
Albania,Belgium,119.0
Albania,Bosnia and Herzegovina,8699.0
Albania,Brazil,47.0
Albania,Bulgaria,5873.0
Albania,Burkina Faso,3.0
Albania,Cabo Verde,113.0
Albania,Canada,543.0
Albania,"China, Hong Kong SAR",18.0
Albania,"China, Taiwan Province of",7.0
Albania,"China, mainland",231.0
Albania,Croatia,2526.0
Albania,Cyprus,1.0
Albania,Czechia,2514.0
Albania,Denmark,226.0
Albania,Egypt,859.0
Albania,Estonia,171.0
Albania,France,3779.0
Albania,Germany,10398.0
Albania,Ghana,9.0
Albania,Greece,10753.0
Albania,Hungary,1248.0
Albania,Iceland,6.0
Albania,India,165.0
Albania,Indonesia,2.0
Albania,Ireland,50.0
Albania,Israel,69.0
Albania,Italy,17866.0
Albania,Japan,361.0
Albania,Kenya,16.0
Albania,Kuwait,24.0
Albania,Latvia,505.0
Albania,Lebanon,72.0
Albania,Lithuania,760.0
Albania,Malaysia,4.0
Albania,Mali,7.0
Albania,Malta,12.0
Albania,Mauritania,5.0
Albania,Mauritius,2.0
Albania,Mexico,35.0
Albania,Montenegro,5368.0
Albania,Morocco,45.0
Albania,Netherlands,562.0
Albania,New Zealand,1.0
Albania,North Macedonia,5708.0
Albania,Norway,58.0
Albania,Pakistan,39.0
Albania,Philippines,37.0
Albania,Poland,2721.0
Albania,Republic of Korea,47.0
Albania,Republic of Moldova,231.0
Albania,Romania,10008.0
Albania,Russian Federation,14.0
Albania,Senegal,564.0
Albania,Serbia,14309.0
Albania,Seychelles,19.0
Albania,Singapore,4.0
Albania,Slovakia,2216.0
Albania,Slovenia,2060.0
Albania,South Africa,113.0
Albania,Spain,629.0
Albania,Sri Lanka,78.0
Albania,Sweden,295.0
Albania,Switzerland,760.0
Albania,Thailand,3.0
Albania,Tunisia,5.0
Albania,Turkey,3518.0
Albania,Ukraine,442.0
Albania,United Kingdom,851.0
Albania,United States of America,10662.0
Albania,Uruguay,10.0
Algeria,Albania,7381.0
Algeria,Angola,42.0
Algeria,Australia,8.0
Algeria,Austria,3.0
Algeria,Azerbaijan,223.0
Algeria,Bahrain,12.0
Algeria,Bangladesh,1070.0
Algeria,Belarus,26.0
Algeria,Belgium,1399.0
Algeria,Benin,1521.0
Algeria,Bulgaria,68.0
Algeria,Cabo Verde,788.0
Algeria,Cameroon,51.0
Algeria,Canada,1987.0
Algeria,"China, Hong Kong SAR",11.0
Algeria,"China, mainland",1039.0
Algeria,Croatia,692.0
Algeria,Cyprus,839.0
Algeria,Czechia,3.0
Algeria,Côte d'Ivoire,461.0
Algeria,Djibouti,2.0
Algeria,Equatorial Guinea,197.0
Algeria,Estonia,87.0
Algeria,Ethiopia,15192.0
Algeria,France,38387.0
Algeria,Gabon,94.0
Algeria,Gambia,1015.0
Algeria,Georgia,503.0
Algeria,Germany,5311.0
Algeria,Ghana,5294.0
Algeria,Greece,997.0
Algeria,Guinea,5529.0
Algeria,Hungary,31.0
Algeria,India,953.0
Algeria,Indonesia,468.0
Algeria,Iraq,311.0
Algeria,Italy,13508.0
Algeria,Japan,9.0
Algeria,Jordan,39734.0
Algeria,Kazakhstan,58.0
Algeria,Kenya,153.0
Algeria,Kuwait,1808.0
Algeria,Lebanon,16279.0
Algeria,Liberia,232.0
Algeria,Libya,16234.0
Algeria,Luxembourg,15.0
Algeria,Malaysia,644.0
Algeria,Maldives,16.0
Algeria,Mali,81.0
Algeria,Malta,30.0
Algeria,Mauritania,49033.0
Algeria,Mauritius,43.0
Algeria,Morocco,4750.0
Algeria,Netherlands,4829.0
Algeria,New Zealand,26.0
Algeria,Niger,48.0
Algeria,Nigeria,127.0
Algeria,Oman,119.0
Algeria,Poland,22.0
Algeria,Portugal,1.0
Algeria,Qatar,3003.0
Algeria,Republic of Korea,10.0
Algeria,Romania,17.0
Algeria,Russian Federation,5421.0
Algeria,Sao Tome and Principe,46.0
Algeria,Saudi Arabia,3085.0
Algeria,Senegal,4349.0
Algeria,Sierra Leone,897.0
Algeria,Somalia,44.0
Algeria,South Africa,37.0
Algeria,Spain,19439.0
Algeria,Sri Lanka,760.0
Algeria,Sudan,7.0
Algeria,Sweden,161.0
Algeria,Switzerland,24.0
Algeria,Syrian Arab Republic,6229.0
Algeria,Thailand,247.0
Algeria,Togo,89.0
Algeria,Tunisia,8778.0
Algeria,Turkey,27021.0
Algeria,Ukraine,173.0
Algeria,United Arab Emirates,11126.0
Algeria,United Kingdom,1412.0
Algeria,United Republic of Tanzania,3462.0
Algeria,United States of America,2579.0
Algeria,Uzbekistan,32.0
Algeria,Viet Nam,290.0
Algeria,Yemen,232.0
Antigua and Barbuda,Anguilla,42.0
Antigua and Barbuda,Barbados,142.0
Antigua and Barbuda,Belize,243.0
Antigua and Barbuda,British Virgin Islands,5.0
Antigua and Barbuda,Dominica,6.0
Antigua and Barbuda,Guyana,20.0
Antigua and Barbuda,Jamaica,1.0
Antigua and Barbuda,Montserrat,93.0
Antigua and Barbuda,Netherlands,1489.0
Antigua and Barbuda,Saint Kitts and Nevis,73.0
Antigua and Barbuda,Saint Lucia,491.0
Antigua and Barbuda,Saint Vincent and the Grenadines,10.0
Antigua and Barbuda,Trinidad and Tobago,1.0
Antigua and Barbuda,United Kingdom,1.0
Antigua and Barbuda,United States of America,728.0
Argentina,Afghanistan,1633.0
Argentina,Albania,3770.0
Argentina,Algeria,1463404.0
Argentina,Angola,32085.0
Argentina,Antigua and Barbuda,227.0
Argentina,Armenia,4522.0
Argentina,Aruba,1907.0
Argentina,Australia,360434.0
Argentina,Austria,3991.0
Argentina,Azerbaijan,666.0
Argentina,Bahamas,1962.0
Argentina,Bahrain,4588.0
Argentina,Bangladesh,578443.0
Argentina,Barbados,587.0
Argentina,Belarus,72120.0
Argentina,Belgium,270709.0
Argentina,Belize,98.0
Argentina,Benin,1116.0
Argentina,Bolivia (Plurinational State of),272117.0
Argentina,Bosnia and Herzegovina,1431.0
Argentina,Brazil,2849026.0
Argentina,Brunei Darussalam,7313.0
Argentina,Bulgaria,13664.0
Argentina,Burkina Faso,3162.0
Argentina,Burundi,3509.0
Argentina,Cabo Verde,4467.0
Argentina,Cambodia,281.0
Argentina,Cameroon,29486.0
Argentina,Canada,145634.0
Argentina,Central African Republic,650.0
Argentina,Chile,1437238.0
Argentina,"China, Hong Kong SAR",149996.0
Argentina,"China, Taiwan Province of",64713.0
Argentina,"China, mainland",3167229.0
Argentina,Colombia,189858.0
Argentina,Comoros,2285.0
Argentina,Congo,14669.0
Argentina,Costa Rica,44061.0
Argentina,Croatia,5756.0
Argentina,Cuba,180230.0
Argentina,Cyprus,20471.0
Argentina,Czechia,13799.0
Argentina,Côte d'Ivoire,39982.0
Argentina,Democratic Republic of the Congo,15220.0
Argentina,Denmark,216275.0
Argentina,Djibouti,284.0
Argentina,Dominica,155.0
Argentina,Dominican Republic,37516.0
Argentina,Ecuador,191468.0
Argentina,Egypt,1253572.0
Argentina,El Salvador,4644.0
Argentina,Equatorial Guinea,1288.0
Argentina,Estonia,1602.0
Argentina,Eswatini,70.0
Argentina,Ethiopia,1696.0
Argentina,Fiji,312.0
Argentina,Finland,6957.0
Argentina,France,144627.0
Argentina,Gabon,6294.0
Argentina,Gambia,4202.0
Argentina,Georgia,2254.0
Argentina,Germany,542770.0
Argentina,Ghana,28828.0
Argentina,Gibraltar,53.0
Argentina,Greece,125085.0
Argentina,Grenada,293.0
Argentina,Guatemala,39566.0
Argentina,Guinea,747.0
Argentina,Guyana,2929.0
Argentina,Haiti,6575.0
Argentina,Holy See,2.0
Argentina,Honduras,5349.0
Argentina,Hungary,9508.0
Argentina,Iceland,1097.0
Argentina,India,1990587.0
Argentina,Indonesia,1050820.0
Argentina,Iran (Islamic Republic of),441952.0
Argentina,Iraq,205032.0
Argentina,Ireland,273992.0
Argentina,Israel,184855.0
Argentina,Italy,796467.0
Argentina,Jamaica,2145.0
Argentina,Japan,183286.0
Argentina,Jordan,241729.0
Argentina,Kazakhstan,4553.0
Argentina,Kenya,82578.0
Argentina,Kuwait,40632.0
Argentina,Lao People's Democratic Republic,194.0
Argentina,Latvia,60739.0
Argentina,Lebanon,86044.0
Argentina,Lesotho,322.0
Argentina,Liberia,903.0
Argentina,Libya,30267.0
Argentina,Lithuania,43394.0
Argentina,Luxembourg,264.0
Argentina,Madagascar,16307.0
Argentina,Malawi,2773.0
Argentina,Malaysia,846182.0
Argentina,Maldives,493.0
Argentina,Mali,13006.0
Argentina,Malta,1014.0
Argentina,Mauritania,5278.0
Argentina,Mauritius,46018.0
Argentina,Mexico,121009.0
Argentina,Mongolia,1942.0
Argentina,Montenegro,1060.0
Argentina,Morocco,495455.0
Argentina,Mozambique,67700.0
Argentina,Myanmar,2881.0
Argentina,Namibia,3068.0
Argentina,Nepal,4419.0
Argentina,Netherlands,1022210.0
Argentina,New Zealand,128640.0
Argentina,Nicaragua,6184.0
Argentina,Niger,3103.0
Argentina,Nigeria,75872.0
Argentina,North Macedonia,1252.0
Argentina,Norway,9782.0
Argentina,Oman,76350.0
Argentina,Pakistan,162468.0
Argentina,Palestine,153.0
Argentina,Panama,32623.0
Argentina,Paraguay,283755.0
Argentina,Peru,556003.0
Argentina,Philippines,245102.0
Argentina,Poland,550106.0
Argentina,Portugal,70567.0
Argentina,Qatar,18353.0
Argentina,Republic of Korea,325280.0
Argentina,Republic of Moldova,1757.0
Argentina,Romania,63411.0
Argentina,Russian Federation,426621.0
Argentina,Rwanda,7239.0
Argentina,Saint Kitts and Nevis,64.0
Argentina,Saint Lucia,301.0
Argentina,Saint Vincent and the Grenadines,223.0
Argentina,Saudi Arabia,632868.0
Argentina,Senegal,76967.0
Argentina,Serbia,4979.0
Argentina,Seychelles,142.0
Argentina,Sierra Leone,294.0
Argentina,Singapore,15714.0
Argentina,Slovakia,606.0
Argentina,Slovenia,3430.0
Argentina,Solomon Islands,153.0
Argentina,Somalia,248.0
Argentina,South Africa,351530.0
Argentina,Spain,806129.0
Argentina,Sri Lanka,2845.0
Argentina,Sudan,22713.0
Argentina,Suriname,1593.0
Argentina,Sweden,16499.0
Argentina,Switzerland,32414.0
Argentina,Syrian Arab Republic,66225.0
Argentina,Thailand,291168.0
Argentina,Togo,318.0
Argentina,Trinidad and Tobago,8598.0
Argentina,Tunisia,131606.0
Argentina,Turkey,448748.0
Argentina,Turkmenistan,102.0
Argentina,Uganda,34263.0
Argentina,Ukraine,23471.0
Argentina,United Arab Emirates,168526.0
Argentina,United Kingdom,715383.0
Argentina,United Republic of Tanzania,20556.0
Argentina,United States of America,1186139.0
Argentina,Uruguay,294570.0
Argentina,Uzbekistan,19.0
Argentina,Venezuela (Bolivarian Republic of),207317.0
Argentina,Viet Nam,2118333.0
Argentina,Yemen,158920.0
Armenia,Afghanistan,60.0
Armenia,Argentina,82.0
Armenia,Australia,93.0
Armenia,Austria,71.0
Armenia,Belarus,4858.0
Armenia,Belgium,575.0
Armenia,Bulgaria,157.0
Armenia,Canada,305.0
Armenia,"China, Hong Kong SAR",29.0
Armenia,"China, Taiwan Province of",1.0
Armenia,"China, mainland",566.0
Armenia,Czechia,1048.0
Armenia,Denmark,725.0
Armenia,Estonia,387.0
Armenia,Finland,15.0
Armenia,France,821.0
Armenia,Gambia,14.0
Armenia,Georgia,23581.0
Armenia,Germany,2280.0
Armenia,Greece,46.0
Armenia,India,11.0
Armenia,Iran (Islamic Republic of),17136.0
Armenia,Iraq,115835.0
Armenia,Israel,601.0
Armenia,Italy,322.0
Armenia,Japan,285.0
Armenia,Kazakhstan,2706.0
Armenia,Kuwait,191.0
Armenia,Kyrgyzstan,1272.0
Armenia,Latvia,1666.0
Armenia,Lebanon,79.0
Armenia,Libya,902.0
Armenia,Lithuania,1522.0
Armenia,Luxembourg,1260.0
Armenia,Malaysia,48.0
Armenia,Maldives,6.0
Armenia,Mozambique,1.0
Armenia,Netherlands,225.0
Armenia,Pakistan,18.0
Armenia,Poland,780.0
Armenia,Qatar,1339.0
Armenia,Republic of Korea,80.0
Armenia,Republic of Moldova,38.0
Armenia,Russian Federation,289733.0
Armenia,Saudi Arabia,44.0
Armenia,Singapore,12.0
Armenia,Slovakia,24.0
Armenia,Spain,21.0
Armenia,Sweden,99.0
Armenia,Switzerland,146.0
Armenia,Syrian Arab Republic,49989.0
Armenia,Turkey,574.0
Armenia,Turkmenistan,1639.0
Armenia,Ukraine,8341.0
Armenia,United Arab Emirates,55064.0
Armenia,United Kingdom,116.0
Armenia,United Republic of Tanzania,1.0
Armenia,United States of America,8361.0
Armenia,Uruguay,10.0
Armenia,Uzbekistan,48.0
Armenia,Viet Nam,141.0
Aruba,Colombia,17357.0
Aruba,Netherlands,186.0
Aruba,Panama,1779.0
Aruba,Suriname,310.0
Aruba,United States of America,201.0
Aruba,Venezuela (Bolivarian Republic of),10901.0
Australia,Afghanistan,52.0
Australia,Albania,1216.0
Australia,Algeria,23491.0
Australia,American Samoa,5043.0
Australia,Angola,3424.0
Australia,Antarctica,94.0
Australia,Antigua and Barbuda,145.0
Australia,Argentina,3242.0
Australia,Austria,909.0
Australia,Azerbaijan,28.0
Australia,Bahamas,3654.0
Australia,Bahrain,80324.0
Australia,Bangladesh,702345.0
Australia,Barbados,535.0
Australia,Belarus,77.0
Australia,Belgium,405757.0
Australia,Benin,345.0
Australia,Bermuda,151.0
Australia,Bhutan,123.0
Australia,Bolivia (Plurinational State of),121.0
Australia,Bosnia and Herzegovina,237.0
Australia,Botswana,18.0
Australia,Brazil,20321.0
Australia,British Virgin Islands,22.0
Australia,Brunei Darussalam,23886.0
Australia,Bulgaria,5932.0
Australia,Cambodia,15859.0
Australia,Cameroon,243.0
Australia,Canada,381045.0
Australia,Cayman Islands,281.0
Australia,Chile,2056.0
Australia,"China, Hong Kong SAR",975374.0
Australia,"China, Macao SAR",7207.0
Australia,"China, Taiwan Province of",586955.0
Australia,"China, mainland",7988882.0
Australia,Christmas Island,2447.0
Australia,Cocos (Keeling) Islands,204.0
Australia,Colombia,187.0
Australia,Cook Islands,1621.0
Australia,Costa Rica,302.0
Australia,Croatia,767.0
Australia,Cuba,208.0
Australia,Cyprus,618.0
Australia,Czechia,114330.0
Australia,Côte d'Ivoire,422.0
Australia,Denmark,73823.0
Australia,Djibouti,5.0
Australia,Dominica,38.0
Australia,Dominican Republic,2984.0
Australia,Ecuador,1495.0
Australia,Egypt,209358.0
Australia,El Salvador,3099.0
Australia,Equatorial Guinea,175.0
Australia,Estonia,560.0
Australia,Eswatini,2.0
Australia,Ethiopia,24.0
Australia,Falkland Islands (Malvinas),26.0
Australia,Fiji,89169.0
Australia,Finland,13497.0
Australia,France,220650.0
Australia,French Polynesia,17897.0
Australia,Gabon,587.0
Australia,Georgia,4715.0
Australia,Germany,627416.0
Australia,Ghana,1941.0
Australia,Greece,1576.0
Australia,Guam,4795.0
Australia,Guatemala,701.0
Australia,Guinea,122.0
Australia,Guyana,1125.0
Australia,Haiti,65.0
Australia,Hungary,562.0
Australia,Iceland,256.0
Australia,India,1898753.0
Australia,Indonesia,2187045.0
Australia,Iran (Islamic Republic of),65151.0
Australia,Iraq,58408.0
Australia,Ireland,14492.0
Australia,Israel,62178.0
Australia,Italy,312677.0
Australia,Jamaica,12259.0
Australia,Japan,3120339.0
Australia,Jordan,95929.0
Australia,Kazakhstan,398.0
Australia,Kenya,27315.0
Australia,Kiribati,8287.0
Australia,Kuwait,320185.0
Australia,Lao People's Democratic Republic,875.0
Australia,Latvia,3851.0
Australia,Lebanon,20898.0
Australia,Liberia,4.0
Australia,Libya,621.0
Australia,Lithuania,896.0
Australia,Luxembourg,322.0
Australia,Madagascar,1048.0
Australia,Malawi,4801.0
Australia,Malaysia,774177.0
Australia,Maldives,8720.0
Australia,Mali,8.0
Australia,Malta,2309.0
Australia,Marshall Islands,753.0
Australia,Mauritania,143.0
Australia,Mauritius,70296.0
Australia,Mexico,34860.0
Australia,Micronesia (Federated States of),1425.0
Australia,Mongolia,365.0
Australia,Morocco,19407.0
Australia,Mozambique,2029.0
Australia,Myanmar,103771.0
Australia,Namibia,4.0
Australia,Nauru,8829.0
Australia,Nepal,35878.0
Australia,Netherlands,235439.0
Australia,New Caledonia,38865.0
Australia,New Zealand,1140400.0
Australia,Nigeria,119292.0
Australia,Niue,74.0
Australia,Norfolk Island,1648.0
Australia,North Macedonia,11.0
Australia,Northern Mariana Islands,1079.0
Australia,Norway,7309.0
Australia,Oman,81385.0
Australia,Pakistan,301732.0
Australia,Palau,459.0
Australia,Panama,93.0
Australia,Papua New Guinea,215618.0
Australia,Paraguay,99.0
Australia,Peru,1169.0
Australia,Philippines,684801.0
Australia,Pitcairn Islands,38.0
Australia,Poland,20565.0
Australia,Portugal,29915.0
Australia,Qatar,194424.0
Australia,Republic of Korea,1718133.0
Australia,Romania,808.0
Australia,Russian Federation,24199.0
Australia,Rwanda,22.0
Australia,"Saint Helena, Ascension and Tristan da Cunha",540.0
Australia,Saint Kitts and Nevis,500.0
Australia,Saint Lucia,843.0
Australia,Samoa,7290.0
Australia,Saudi Arabia,349366.0
Australia,Senegal,476.0
Australia,Serbia,8.0
Australia,Seychelles,3711.0
Australia,Sierra Leone,195.0
Australia,Singapore,865985.0
Australia,Slovakia,390.0
Australia,Slovenia,1101.0
Australia,Solomon Islands,17877.0
Australia,Somalia,86.0
Australia,South Africa,65473.0
Australia,Spain,50440.0
Australia,Sri Lanka,140542.0
Australia,Sudan,1730.0
Australia,Suriname,72.0
Australia,Sweden,19337.0
Australia,Switzerland,70153.0
Australia,Syrian Arab Republic,522.0
Australia,Thailand,580789.0
Australia,Timor-Leste,1460.0
Australia,Togo,17.0
Australia,Tonga,6355.0
Australia,Trinidad and Tobago,12492.0
Australia,Tunisia,1079.0
Australia,Turkey,213522.0
Australia,Tuvalu,664.0
Australia,Uganda,6759.0
Australia,Ukraine,1431.0
Australia,United Arab Emirates,626445.0
Australia,United Kingdom,495984.0
Australia,United Republic of Tanzania,1094.0
Australia,United States of America,2766466.0
Australia,Uruguay,3072.0
Australia,Vanuatu,16565.0
Australia,Viet Nam,1273302.0
Australia,Wallis and Futuna Islands,1832.0
Australia,Yemen,208904.0
Australia,Zambia,36.0
Australia,Zimbabwe,15.0
Austria,Afghanistan,7164.0
Austria,Albania,20428.0
Austria,Algeria,6887.0
Austria,Angola,2970.0
Austria,Antigua and Barbuda,106.0
Austria,Argentina,4600.0
Austria,Armenia,3166.0
Austria,Aruba,224.0
Austria,Australia,96185.0
Austria,Azerbaijan,14319.0
Austria,Bahamas,401.0
Austria,Bahrain,5529.0
Austria,Bangladesh,1528.0
Austria,Barbados,29.0
Austria,Belarus,8427.0
Austria,Belgium,239529.0
Austria,Belize,3097.0
Austria,Benin,568.0
Austria,Bermuda,237.0
Austria,Bolivia (Plurinational State of),1616.0
Austria,Bosnia and Herzegovina,41725.0
Austria,Botswana,2.0
Austria,Brazil,49578.0
Austria,British Virgin Islands,44.0
Austria,Bulgaria,67510.0
Austria,Burkina Faso,364.0
Austria,Cabo Verde,126.0
Austria,Cambodia,1116.0
Austria,Cameroon,140.0
Austria,Canada,23593.0
Austria,Cayman Islands,299.0
Austria,Central African Republic,1.0
Austria,Chile,26539.0
Austria,"China, Hong Kong SAR",31060.0
Austria,"China, Macao SAR",4.0
Austria,"China, Taiwan Province of",12201.0
Austria,"China, mainland",63057.0
Austria,Colombia,2960.0
Austria,Congo,581.0
Austria,Costa Rica,549.0
Austria,Croatia,166024.0
Austria,Cuba,1447.0
Austria,Cyprus,9496.0
Austria,Czechia,342984.0
Austria,Côte d'Ivoire,996.0
Austria,Democratic Republic of the Congo,493.0
Austria,Denmark,91228.0
Austria,Djibouti,164.0
Austria,Dominican Republic,2317.0
Austria,Ecuador,725.0
Austria,Egypt,13684.0
Austria,El Salvador,332.0
Austria,Equatorial Guinea,30.0
Austria,Eritrea,3.0
Austria,Estonia,11810.0
Austria,Ethiopia,461.0
Austria,Fiji,28.0
Austria,Finland,33608.0
Austria,France,337232.0
Austria,French Polynesia,175.0
Austria,Gabon,798.0
Austria,Gambia,118.0
Austria,Georgia,13717.0
Austria,Germany,4382107.0
Austria,Ghana,1147.0
Austria,Greece,72922.0
Austria,Grenada,26.0
Austria,Guatemala,828.0
Austria,Guinea,245.0
Austria,Guyana,49.0
Austria,Haiti,477.0
Austria,Honduras,237.0
Austria,Hungary,448256.0
Austria,Iceland,4679.0
Austria,India,17348.0
Austria,Indonesia,6395.0
Austria,Iran (Islamic Republic of),11216.0
Austria,Iraq,16205.0
Austria,Ireland,41404.0
Austria,Israel,31823.0
Austria,Italy,1433183.0
Austria,Jamaica,1698.0
Austria,Japan,76709.0
Austria,Jordan,10867.0
Austria,Kazakhstan,14064.0
Austria,Kenya,5096.0
Austria,Kuwait,32502.0
Austria,Kyrgyzstan,979.0
Austria,Lao People's Democratic Republic,5.0
Austria,Latvia,9108.0
Austria,Lebanon,11038.0
Austria,Liberia,1420.0
Austria,Libya,8591.0
Austria,Lithuania,21369.0
Austria,Luxembourg,6832.0
Austria,Madagascar,80.0
Austria,Malaysia,4023.0
Austria,Maldives,4332.0
Austria,Mali,370.0
Austria,Malta,8889.0
Austria,Mauritania,218.0
Austria,Mauritius,2313.0
Austria,Mexico,2079.0
Austria,Mongolia,1528.0
Austria,Montenegro,13259.0
Austria,Morocco,4874.0
Austria,Mozambique,1604.0
Austria,Myanmar,88.0
Austria,Namibia,1218.0
Austria,Nepal,1417.0
Austria,Netherlands,418526.0
Austria,New Caledonia,139.0
Austria,New Zealand,5701.0
Austria,Nicaragua,288.0
Austria,Niger,59.0
Austria,Nigeria,7561.0
Austria,Niue,1.0
Austria,North Macedonia,28312.0
Austria,Norway,23593.0
Austria,Oman,7444.0
Austria,Pakistan,6409.0
Austria,Palestine,150.0
Austria,Panama,3118.0
Austria,Papua New Guinea,110.0
Austria,Paraguay,1917.0
Austria,Peru,740.0
Austria,Philippines,11046.0
Austria,Poland,281760.0
Austria,Portugal,22630.0
Austria,Qatar,18060.0
Austria,Republic of Korea,86411.0
Austria,Republic of Moldova,6104.0
Austria,Romania,159305.0
Austria,Russian Federation,224498.0
Austria,Saint Kitts and Nevis,80.0
Austria,Saint Lucia,65.0
Austria,Saudi Arabia,33192.0
Austria,Senegal,933.0
Austria,Serbia,68465.0
Austria,Seychelles,553.0
Austria,Singapore,9976.0
Austria,Slovakia,217225.0
Austria,Slovenia,351681.0
Austria,Somalia,15.0
Austria,South Africa,37160.0
Austria,Spain,178199.0
Austria,Sri Lanka,9459.0
Austria,Sudan,652.0
Austria,Suriname,104.0
Austria,Sweden,135132.0
Austria,Switzerland,481081.0
Austria,Syrian Arab Republic,938.0
Austria,Tajikistan,1338.0
Austria,Thailand,4360.0
Austria,Togo,845.0
Austria,Trinidad and Tobago,530.0
Austria,Tunisia,5861.0
Austria,Turkey,115542.0
Austria,Turkmenistan,2308.0
Austria,Turks and Caicos Islands,54.0
Austria,Uganda,1278.0
Austria,Ukraine,60105.0
Austria,United Arab Emirates,34352.0
Austria,United Kingdom,317944.0
Austria,United Republic of Tanzania,3350.0
Austria,United States of America,1002558.0
Austria,Uruguay,911.0
Austria,Uzbekistan,5682.0
Austria,Viet Nam,10495.0
Austria,Yemen,4896.0
Austria,Zambia,80.0
Austria,Zimbabwe,84.0
Azerbaijan,Australia,221.0
Azerbaijan,Austria,1.0
Azerbaijan,Belarus,1404.0
Azerbaijan,Belgium,52.0
Azerbaijan,Brunei Darussalam,1.0
Azerbaijan,Bulgaria,31.0
Azerbaijan,Cabo Verde,1.0
Azerbaijan,Canada,215.0
Azerbaijan,"China, Hong Kong SAR",221.0
Azerbaijan,"China, Taiwan Province of",132.0
Azerbaijan,"China, mainland",986.0
Azerbaijan,Czechia,1023.0
Azerbaijan,Denmark,161.0
Azerbaijan,Egypt,115.0
Azerbaijan,Estonia,149.0
Azerbaijan,Eswatini,59.0
Azerbaijan,France,788.0
Azerbaijan,Georgia,23348.0
Azerbaijan,Germany,27771.0
Azerbaijan,Greece,264.0
Azerbaijan,Hungary,12.0
Azerbaijan,Iceland,3.0
Azerbaijan,India,157.0
Azerbaijan,Iran (Islamic Republic of),12814.0
Azerbaijan,Ireland,1.0
Azerbaijan,Israel,207.0
Azerbaijan,Italy,20482.0
Azerbaijan,Japan,719.0
Azerbaijan,Kazakhstan,4684.0
Azerbaijan,Kuwait,42.0
Azerbaijan,Kyrgyzstan,191.0
Azerbaijan,Latvia,741.0
Azerbaijan,Lithuania,1151.0
Azerbaijan,Malaysia,64.0
Azerbaijan,Mongolia,94.0
Azerbaijan,Montenegro,1.0
Azerbaijan,Netherlands,221.0
Azerbaijan,New Zealand,104.0
Azerbaijan,Norway,5.0
Azerbaijan,Pakistan,19.0
Azerbaijan,Poland,3871.0
Azerbaijan,Republic of Korea,48.0
Azerbaijan,Republic of Moldova,146.0
Azerbaijan,Romania,36.0
Azerbaijan,Russian Federation,400236.0
Azerbaijan,Senegal,25.0
Azerbaijan,Singapore,7.0
Azerbaijan,Slovakia,14.0
Azerbaijan,Spain,109.0
Azerbaijan,Sweden,56.0
Azerbaijan,Switzerland,18.0
Azerbaijan,Thailand,10.0
Azerbaijan,Turkey,36674.0
Azerbaijan,Ukraine,2361.0
Azerbaijan,United Kingdom,70.0
Azerbaijan,United States of America,561.0
Bahamas,Antigua and Barbuda,15.0
Bahamas,Australia,67.0
Bahamas,Austria,1.0
Bahamas,Belarus,262.0
Bahamas,Bermuda,13.0
Bahamas,Brazil,87.0
Bahamas,Canada,710.0
Bahamas,"China, Hong Kong SAR",5.0
Bahamas,"China, Taiwan Province of",24.0
Bahamas,"China, mainland",35.0
Bahamas,Costa Rica,168.0
Bahamas,Czechia,36.0
Bahamas,Ecuador,105.0
Bahamas,France,148.0
Bahamas,Germany,1914.0
Bahamas,Greece,316.0
Bahamas,Honduras,1.0
Bahamas,Iceland,4.0
Bahamas,Italy,232.0
Bahamas,Jamaica,176.0
Bahamas,Japan,70.0
