Exporter,Importer,Value
"China, Taiwan Province of",Israel,9049.0
Spain,United States of America,9029.0
Uruguay,Mauritania,9011.0
Bulgaria,Iran (Islamic Republic of),9004.0
Slovakia,Russian Federation,8983.0
India,Kenya,8954.0
Uruguay,Ecuador,8949.0
Bulgaria,Iraq,8948.0
Latvia,Egypt,8922.0
Guyana,United Kingdom,8885.0
South Africa,Zambia,8875.0
Viet Nam,Fiji,8871.0
Canada,Qatar,8860.0
Romania,Malta,8855.0
South Africa,France,8842.0
Denmark,South Africa,8837.0
India,United Republic of Tanzania,8830.0
Mexico,Peru,8799.0
Belgium,Congo,8775.0
Turkmenistan,Iran (Islamic Republic of),8774.0
France,Syrian Arab Republic,8751.0
United Kingdom,Canada,8739.0
Bosnia and Herzegovina,North Macedonia,8725.0
New Zealand,Kuwait,8705.0
Saudi Arabia,Jordan,8697.0
Viet Nam,"China, Macao SAR",8676.0
France,New Caledonia,8640.0
Netherlands,Morocco,8639.0
Mozambique,Zimbabwe,8635.0
Thailand,United Republic of Tanzania,8632.0
Uruguay,Morocco,8607.0
Paraguay,Peru,8603.0
Luxembourg,Netherlands,8591.0
United Republic of Tanzania,Burundi,8584.0
Latvia,Kenya,8543.0
Thailand,Qatar,8539.0
New Zealand,New Caledonia,8531.0
Russian Federation,Ecuador,8524.0
India,Spain,8517.0
Canada,New Zealand,8486.0
Romania,Kuwait,8480.0
Spain,Turkey,8447.0
Italy,Finland,8444.0
Belgium,Finland,8429.0
United States of America,Samoa,8411.0
Spain,Angola,8402.0
Netherlands,Equatorial Guinea,8375.0
Greece,Hungary,8365.0
France,Kuwait,8356.0
Paraguay,Nigeria,8342.0
Latvia,France,8332.0
Romania,Qatar,8324.0
Portugal,Netherlands,8324.0
India,Pakistan,8316.0
Spain,Mauritania,8300.0
France,Niger,8288.0
Thailand,Jordan,8262.0
Bulgaria,France,8255.0
Thailand,Equatorial Guinea,8254.0
Peru,Spain,8250.0
Iran (Islamic Republic of),United Arab Emirates,8246.0
Slovakia,Croatia,8215.0
Republic of Korea,"China, Hong Kong SAR",8207.0
Kenya,United Arab Emirates,8156.0
Poland,Serbia,8152.0
United Kingdom,Russian Federation,8147.0
Kazakhstan,Italy,8121.0
Denmark,Croatia,8096.0
Hungary,Philippines,8092.0
Mexico,Spain,8076.0
Turkey,United Arab Emirates,8059.0
Chile,Ecuador,8058.0
Lithuania,Haiti,8047.0
Romania,United Arab Emirates,8036.0
Belgium,Switzerland,8032.0
Croatia,Austria,8029.0
Sweden,United Kingdom,8021.0
Italy,Bosnia and Herzegovina,8016.0
United Kingdom,Kuwait,8008.0
Suriname,Portugal,8008.0
Russian Federation,Tajikistan,8002.0
United States of America,Bahrain,7999.0
Australia,Kiribati,7978.0
Tajikistan,Bahamas,7947.0
Spain,Singapore,7940.0
Switzerland,Morocco,7929.0
Russian Federation,Congo,7922.0
Republic of Moldova,Cyprus,7899.0
United States of America,"China, Macao SAR",7860.0
United States of America,Sierra Leone,7850.0
Thailand,French Polynesia,7850.0
Ireland,South Africa,7835.0
Thailand,Gambia,7817.0
Nicaragua,Costa Rica,7814.0
Oman,Qatar,7793.0
Chile,Colombia,7785.0
India,Sweden,7775.0
Pakistan,Mauritius,7772.0
Sweden,Belgium,7768.0
France,Cabo Verde,7728.0
Denmark,Colombia,7694.0
Argentina,Honduras,7689.0
Portugal,United Kingdom,7688.0
United States of America,Liberia,7675.0
Poland,Norway,7658.0
Thailand,Oman,7655.0
France,Serbia,7647.0
Finland,New Zealand,7643.0
Ireland,"China, Hong Kong SAR",7638.0
South Africa,Netherlands,7637.0
Germany,Singapore,7627.0
Germany,Guinea,7625.0
Thailand,Fiji,7624.0
"China, mainland",Afghanistan,7621.0
Costa Rica,Dominican Republic,7606.0
Brazil,Cabo Verde,7596.0
Estonia,Denmark,7580.0
New Zealand,Qatar,7577.0
"China, mainland",Philippines,7552.0
Estonia,Italy,7541.0
Denmark,Iceland,7536.0
Uruguay,Chile,7527.0
United Arab Emirates,Yemen,7520.0
Brazil,Colombia,7511.0
United States of America,Equatorial Guinea,7510.0
Viet Nam,Chile,7503.0
Brazil,Aruba,7502.0
Bulgaria,Netherlands,7490.0
Bulgaria,Israel,7486.0
Croatia,Hungary,7433.0
Thailand,Kuwait,7415.0
United Arab Emirates,Saudi Arabia,7413.0
Myanmar,Netherlands,7412.0
France,Croatia,7409.0
Romania,Nigeria,7399.0
Estonia,Algeria,7399.0
France,French Polynesia,7394.0
Greece,Portugal,7393.0
Belize,Mauritania,7373.0
Switzerland,Algeria,7364.0
Portugal,Sao Tome and Principe,7320.0
India,Norway,7313.0
Poland,Libya,7298.0
Latvia,Mozambique,7283.0
Jordan,Iraq,7269.0
France,Qatar,7262.0
Slovenia,North Macedonia,7258.0
United States of America,Kenya,7246.0
Cambodia,Spain,7244.0
Colombia,Ecuador,7227.0
Argentina,Qatar,7208.0
France,Belarus,7205.0
Cambodia,Czechia,7194.0
Pakistan,Lithuania,7191.0
Italy,Ethiopia,7186.0
Iran (Islamic Republic of),"China, Hong Kong SAR",7176.0
Slovenia,Montenegro,7173.0
Chile,Brazil,7169.0
Brazil,Suriname,7162.0
Canada,Benin,7158.0
Poland,United Republic of Tanzania,7154.0
United States of America,Niger,7150.0
United States of America,Gambia,7148.0
Luxembourg,France,7139.0
Canada,Egypt,7118.0
Bulgaria,New Zealand,7109.0
Spain,Philippines,7099.0
New Zealand,Denmark,7088.0
Poland,Slovenia,7083.0
Germany,Eritrea,7045.0
Australia,Jamaica,7040.0
Kazakhstan,Poland,7037.0
Serbia,Greece,7026.0
Spain,Switzerland,6988.0
Italy,Algeria,6987.0
Paraguay,Ecuador,6970.0
Thailand,Czechia,6962.0
Argentina,Democratic Republic of the Congo,6957.0
Italy,Serbia,6946.0
India,New Zealand,6943.0
Netherlands,Gabon,6943.0
Pakistan,South Africa,6940.0
Lithuania,Nigeria,6934.0
India,Seychelles,6903.0
Uruguay,South Africa,6888.0
Sudan,Jordan,6880.0
Netherlands,Slovakia,6873.0
India,Guinea-Bissau,6850.0
Romania,Congo,6844.0
Slovakia,Romania,6829.0
Brazil,Grenada,6827.0
United Arab Emirates,Bahrain,6821.0
Netherlands,Thailand,6816.0
Indonesia,Singapore,6811.0
Cyprus,Romania,6805.0
Denmark,Austria,6783.0
Finland,South Africa,6778.0
Chile,Denmark,6758.0
Estonia,Netherlands,6756.0
Eswatini,Mauritania,6734.0
Sweden,Russian Federation,6732.0
Pakistan,Cameroon,6729.0
Iran (Islamic Republic of),Viet Nam,6700.0
Brazil,Argentina,6693.0
United States of America,Turks and Caicos Islands,6683.0
Pakistan,Viet Nam,6665.0
Paraguay,Democratic Republic of the Congo,6653.0
Spain,Hungary,6646.0
Russian Federation,Madagascar,6644.0
Honduras,Guatemala,6638.0
Ireland,United States of America,6626.0
New Zealand,New Zealand,6622.0
France,Lithuania,6613.0
Kenya,Oman,6608.0
Latvia,Democratic Republic of the Congo,6602.0
Germany,Ghana,6599.0
Republic of Moldova,"China, Taiwan Province of",6598.0
Turkey,Germany,6587.0
Romania,"China, Hong Kong SAR",6581.0
Russian Federation,Haiti,6561.0
New Zealand,Portugal,6549.0
United Kingdom,Austria,6546.0
Russian Federation,"China, Hong Kong SAR",6536.0
France,Colombia,6534.0
Thailand,Peru,6531.0
Spain,Russian Federation,6522.0
Mexico,Netherlands,6522.0
France,Malta,6495.0
Netherlands,Ukraine,6489.0
France,Madagascar,6479.0
India,Tunisia,6471.0
Viet Nam,Belgium,6445.0
Chile,Romania,6436.0
Romania,Poland,6429.0
United States of America,Guinea,6422.0
Germany,Iceland,6409.0
Poland,Russian Federation,6400.0
Netherlands,Luxembourg,6375.0
South Africa,Viet Nam,6372.0
Spain,Finland,6351.0
Finland,Poland,6346.0
United Arab Emirates,Somalia,6345.0
Argentina,Turkey,6345.0
Bulgaria,Belgium,6315.0
Viet Nam,Cameroon,6310.0
Croatia,North Macedonia,6299.0
Sweden,Peru,6284.0
United States of America,Republic of Moldova,6283.0
"China, Taiwan Province of","China, Hong Kong SAR",6268.0
Brazil,Trinidad and Tobago,6267.0
Sudan,Bahrain,6250.0
Uruguay,Benin,6246.0
Ireland,Philippines,6237.0
Australia,Brunei Darussalam,6226.0
Honduras,El Salvador,6221.0
Thailand,New Caledonia,6218.0
Netherlands,Malta,6217.0
United States of America,Cambodia,6216.0
Lithuania,Kenya,6199.0
United States of America,Burkina Faso,6188.0
Germany,Belarus,6186.0
Russian Federation,Gambia,6185.0
United Republic of Tanzania,Somalia,6164.0
Turkey,Uzbekistan,6156.0
Denmark,Singapore,6153.0
United Republic of Tanzania,Democratic Republic of the Congo,6133.0
Denmark,Romania,6132.0
Germany,Cyprus,6122.0
Uruguay,Netherlands,6115.0
Australia,Libya,6105.0
Canada,Gabon,6099.0
Latvia,Czechia,6091.0
Serbia,Belgium,6090.0
Hungary,"China, Taiwan Province of",6074.0
Slovakia,Belarus,6061.0
Costa Rica,El Salvador,6044.0
Finland,United Kingdom,6034.0
Serbia,Portugal,6020.0
Denmark,Portugal,6018.0
Slovenia,Israel,5998.0
United States of America,Kyrgyzstan,5993.0
Argentina,Comoros,5991.0
Guyana,Brazil,5985.0
United Kingdom,Romania,5972.0
Latvia,Norway,5966.0
Niger,Thailand,5965.0
India,Brunei Darussalam,5960.0
Argentina,Germany,5950.0
Viet Nam,Ukraine,5950.0
France,France,5941.0
Denmark,"China, Taiwan Province of",5938.0
Cambodia,Russian Federation,5936.0
Argentina,Costa Rica,5911.0
Chile,Nicaragua,5908.0
Peru,Venezuela (Bolivarian Republic of),5907.0
Romania,Canada,5902.0
Finland,Switzerland,5859.0
Poland,Bahrain,5847.0
Spain,Saudi Arabia,5835.0
Czechia,Denmark,5827.0
Thailand,Sri Lanka,5814.0
"China, mainland",Indonesia,5808.0
Indonesia,"China, Hong Kong SAR",5773.0
Kazakhstan,United Kingdom,5768.0
Brazil,Panama,5767.0
"China, mainland",Canada,5758.0
Mexico,Japan,5755.0
Uruguay,Senegal,5734.0
Tunisia,Libya,5731.0
Canada,Libya,5727.0
United States of America,Tajikistan,5714.0
Kenya,Uganda,5713.0
North Macedonia,Greece,5696.0
Lithuania,Sweden,5693.0
Italy,Morocco,5682.0
Canada,Belarus,5676.0
Latvia,Congo,5652.0
Myanmar,Burkina Faso,5644.0
Philippines,Pakistan,5639.0
Belgium,Suriname,5629.0
United Kingdom,Morocco,5622.0
Australia,Belgium,5621.0
Hungary,"China, mainland",5606.0
France,Guinea,5602.0
India,Chile,5592.0
New Zealand,Finland,5580.0
Argentina,India,5578.0
Austria,Bulgaria,5563.0
Spain,Syrian Arab Republic,5558.0
Cyprus,Bulgaria,5555.0
New Zealand,Trinidad and Tobago,5546.0
El Salvador,Guatemala,5535.0
United Kingdom,Sweden,5511.0
Jordan,Argentina,5510.0
Russian Federation,"China, mainland",5497.0
Sweden,New Zealand,5495.0
France,Angola,5492.0
Argentina,Syrian Arab Republic,5468.0
Luxembourg,Italy,5455.0
Belgium,Gabon,5453.0
South Africa,Spain,5430.0
Spain,Austria,5424.0
Belgium,Tunisia,5422.0
Chile,Ukraine,5420.0
United States of America,Saint Kitts and Nevis,5418.0
Thailand,Egypt,5414.0
United States of America,Argentina,5404.0
Argentina,Italy,5402.0
India,Mauritania,5396.0
Myanmar,Cameroon,5373.0
Netherlands,Libya,5368.0
Argentina,Sierra Leone,5368.0
Guyana,Haiti,5364.0
Latvia,Algeria,5363.0
Latvia,Denmark,5360.0
Sudan,Qatar,5340.0
Hungary,Denmark,5339.0
Paraguay,Viet Nam,5330.0
New Zealand,Thailand,5330.0
Yemen,Saudi Arabia,5328.0
Uruguay,France,5298.0
New Zealand,Mauritius,5296.0
France,Slovenia,5296.0
Cambodia,Gabon,5293.0
Greece,Germany,5286.0
Australia,Zimbabwe,5285.0
Viet Nam,France,5281.0
Latvia,Qatar,5274.0
Bulgaria,Croatia,5260.0
Ukraine,Azerbaijan,5242.0
Australia,Nauru,5238.0
Italy,"China, mainland",5219.0
United States of America,Austria,5215.0
Turkey,Qatar,5213.0
Iceland,Norway,5212.0
United States of America,Myanmar,5204.0
Viet Nam,Saudi Arabia,5197.0
Italy,Russian Federation,5196.0
Cambodia,Italy,5191.0
Chile,Italy,5168.0
Belgium,Equatorial Guinea,5148.0
India,Portugal,5139.0
Denmark,United Republic of Tanzania,5138.0
Switzerland,Benin,5134.0
United Arab Emirates,Maldives,5119.0
Zambia,Uganda,5113.0
Viet Nam,Australia,5093.0
Myanmar,Indonesia,5083.0
Greece,France,5082.0
New Zealand,Cyprus,5071.0
South Africa,Kuwait,5039.0
Chile,South Africa,5036.0
Hungary,Belarus,5028.0
Slovenia,Greece,5026.0
Denmark,Benin,5020.0
Thailand,Georgia,4972.0
Botswana,South Africa,4966.0
"China, mainland",South Africa,4950.0
Romania,Czechia,4947.0
United States of America,British Virgin Islands,4945.0
Lithuania,Norway,4941.0
Germany,Georgia,4938.0
Romania,Iraq,4921.0
Japan,Poland,4920.0
Slovenia,Bosnia and Herzegovina,4910.0
Belgium,Hungary,4896.0
Netherlands,Cabo Verde,4890.0
Thailand,Bahrain,4883.0
United States of America,Sweden,4882.0
Thailand,Denmark,4860.0
Russian Federation,Ukraine,4823.0
Republic of Moldova,Malaysia,4819.0
Italy,Ireland,4812.0
Pakistan,Belarus,4810.0
Italy,Australia,4809.0
Pakistan,Singapore,4796.0
Greece,Albania,4789.0
Argentina,Congo,4777.0
Saudi Arabia,Iraq,4775.0
New Zealand,Viet Nam,4769.0
Australia,French Polynesia,4758.0
Benin,Niger,4750.0
Netherlands,Congo,4750.0
Hungary,Republic of Moldova,4749.0
Singapore,Timor-Leste,4748.0
United States of America,Dominica,4735.0
South Africa,Thailand,4731.0
New Zealand,Tonga,4713.0
Pakistan,Turkmenistan,4710.0
Cambodia,Portugal,4704.0
Germany,Republic of Moldova,4692.0
Pakistan,Georgia,4686.0
New Zealand,Samoa,4682.0
Cameroon,Central African Republic,4676.0
Mexico,Haiti,4669.0
"China, mainland",Zimbabwe,4657.0
Spain,Montenegro,4656.0
Uruguay,United Arab Emirates,4655.0
Latvia,Ireland,4642.0
North Macedonia,Serbia,4636.0
Viet Nam,Canada,4626.0
India,Japan,4623.0
Turkey,Spain,4590.0
Spain,Togo,4587.0
Uruguay,Kuwait,4582.0
Malawi,Mozambique,4582.0
Canada,Trinidad and Tobago,4567.0
Chile,Costa Rica,4565.0
Argentina,Canada,4551.0
Canada,Democratic Republic of the Congo,4550.0
Brazil,New Caledonia,4548.0
Germany,Côte d'Ivoire,4546.0
Namibia,Democratic Republic of the Congo,4543.0
Czechia,Norway,4537.0
Ireland,Portugal,4537.0
India,Namibia,4535.0
Antigua and Barbuda,Cameroon,4535.0
Ukraine,"China, Hong Kong SAR",4515.0
Bulgaria,Indonesia,4511.0
Pakistan,Bangladesh,4509.0
Netherlands,Togo,4508.0
Chile,Chile,4491.0
Finland,Denmark,4468.0
India,"China, mainland",4466.0
Benin,Nigeria,4461.0
Viet Nam,Israel,4448.0
Uruguay,United States of America,4431.0
Bolivia (Plurinational State of),Ecuador,4426.0
Canada,Ukraine,4406.0
Russian Federation,Ireland,4406.0
Germany,Viet Nam,4386.0
Morocco,Senegal,4384.0
South Africa,United Arab Emirates,4380.0
France,Venezuela (Bolivarian Republic of),4376.0
Uruguay,Portugal,4369.0
Estonia,Sweden,4358.0
Argentina,Switzerland,4353.0
Belgium,Estonia,4347.0
Myanmar,Singapore,4328.0
Hungary,North Macedonia,4311.0
India,Poland,4310.0
Brazil,Kazakhstan,4298.0
Ukraine,Latvia,4270.0
Belgium,Portugal,4268.0
Uruguay,Gambia,4261.0
Ukraine,Turkmenistan,4255.0
Russian Federation,Malaysia,4253.0
Pakistan,Algeria,4248.0
Turkey,Lao People's Democratic Republic,4237.0
Czechia,Croatia,4237.0
Paraguay,United States of America,4222.0
Switzerland,Gambia,4222.0
Chile,Austria,4208.0
Paraguay,Sierra Leone,4207.0
Paraguay,Argentina,4205.0
Portugal,Germany,4191.0
Uruguay,Colombia,4190.0
Spain,Slovenia,4165.0
United States of America,Cocos (Keeling) Islands,4157.0
Thailand,Thailand,4151.0
Croatia,Romania,4149.0
Russian Federation,Viet Nam,4148.0
Japan,Togo,4146.0
Canada,Cyprus,4143.0
Thailand,Madagascar,4142.0
Pakistan,Sweden,4134.0
Ireland,Tunisia,4128.0
Italy,Brazil,4128.0
Pakistan,New Zealand,4125.0
Canada,Zimbabwe,4092.0
Guatemala,El Salvador,4088.0
Belgium,Benin,4076.0
India,"China, Hong Kong SAR",4074.0
Spain,Croatia,4071.0
Australia,Maldives,4051.0
Guyana,Belgium,4050.0
Belgium,Belarus,4038.0
Italy,Guinea,4032.0
New Zealand,Barbados,4017.0
Senegal,Sierra Leone,4010.0
France,Finland,4009.0
India,Bhutan,4005.0
Thailand,Chile,3990.0
Finland,Lithuania,3988.0
United States of America,Switzerland,3980.0
Myanmar,Germany,3968.0
Brazil,Romania,3967.0
Slovakia,Ukraine,3955.0
United Kingdom,Iceland,3949.0
United Kingdom,Singapore,3949.0
Japan,Mauritania,3948.0
Japan,Singapore,3946.0
Spain,Estonia,3933.0
Viet Nam,Burkina Faso,3929.0
United Republic of Tanzania,Rwanda,3922.0
Australia,Democratic Republic of the Congo,3912.0
Spain,Palestine,3910.0
United Kingdom,Latvia,3890.0
Brazil,Seychelles,3890.0
Netherlands,Georgia,3887.0
Poland,Iraq,3862.0
Brazil,Timor-Leste,3861.0
France,Viet Nam,3857.0
Lithuania,Czechia,3836.0
Sweden,Faroe Islands,3832.0
Cambodia,Thailand,3824.0
Malaysia,Thailand,3819.0
Saudi Arabia,Libya,3808.0
South Africa,United Republic of Tanzania,3803.0
Russian Federation,Uzbekistan,3776.0
Brazil,Antigua and Barbuda,3776.0
Latvia,United Kingdom,3771.0
Canada,Guyana,3769.0
Norway,Denmark,3767.0
Thailand,Armenia,3754.0
"China, Hong Kong SAR",Iran (Islamic Republic of),3749.0
Poland,Canada,3741.0
Greece,United Kingdom,3738.0
Denmark,Switzerland,3730.0
Kazakhstan,Netherlands,3728.0
Croatia,Albania,3726.0
Paraguay,Mauritius,3723.0
India,Myanmar,3721.0
Belgium,United Arab Emirates,3713.0
Brazil,Sudan,3711.0
New Zealand,Ireland,3708.0
Belgium,Norway,3705.0
Pakistan,Angola,3698.0
Zambia,Democratic Republic of the Congo,3692.0
Argentina,Namibia,3692.0
Poland,Liberia,3670.0
Indonesia,Senegal,3659.0
Chile,Israel,3654.0
Spain,Malta,3652.0
Azerbaijan,Iran (Islamic Republic of),3650.0
Italy,Norway,3645.0
Uruguay,Panama,3645.0
Viet Nam,Qatar,3623.0
United States of America,Papua New Guinea,3621.0
Poland,Switzerland,3612.0
Cambodia,Sweden,3598.0
"China, mainland",Bangladesh,3576.0
Tajikistan,Algeria,3565.0
Switzerland,Germany,3562.0
Uruguay,Algeria,3559.0
Spain,Israel,3554.0
Latvia,Belarus,3552.0
Kuwait,United Arab Emirates,3551.0
Denmark,Faroe Islands,3528.0
Sweden,Canada,3508.0
Italy,Cuba,3507.0
Norway,Germany,3504.0
Myanmar,Italy,3503.0
India,Libya,3494.0
Italy,Niger,3492.0
Croatia,Serbia,3484.0
Canada,Austria,3479.0
Poland,Gabon,3478.0
Uruguay,Turkey,3478.0
Pakistan,Chile,3475.0
Egypt,United Arab Emirates,3474.0
Saudi Arabia,Lebanon,3468.0
Czechia,Bulgaria,3461.0
"China, mainland",Azerbaijan,3456.0
France,Equatorial Guinea,3425.0
Peru,United States of America,3419.0
Ukraine,Romania,3416.0
France,Chile,3416.0
Belgium,Sudan,3409.0
United Kingdom,Bulgaria,3403.0
Argentina,French Polynesia,3397.0
Ghana,Burkina Faso,3383.0
"China, mainland",Jordan,3382.0
Finland,Libya,3380.0
Poland,Iceland,3377.0
Hungary,Lebanon,3370.0
Czechia,Benin,3363.0
Netherlands,North Macedonia,3363.0
Pakistan,Maldives,3363.0
Belgium,Croatia,3362.0
Luxembourg,Greece,3355.0
France,"China, Taiwan Province of",3352.0
Pakistan,Jordan,3346.0
Oman,Iran (Islamic Republic of),3346.0
France,Lebanon,3339.0
Germany,Congo,3338.0
Italy,Canada,3333.0
United Kingdom,Ukraine,3332.0
Belgium,Malta,3328.0
Paraguay,Bolivia (Plurinational State of),3326.0
Myanmar,Spain,3326.0
United Arab Emirates,Lebanon,3324.0
Mexico,Canada,3323.0
Zambia,South Africa,3323.0
Poland,Republic of Korea,3322.0
Viet Nam,Netherlands,3320.0
Pakistan,Thailand,3314.0
Argentina,Bahrain,3314.0
Pakistan,Haiti,3308.0
Germany,Angola,3304.0
Uruguay,Indonesia,3301.0
United Kingdom,Saint Vincent and the Grenadines,3299.0
France,Peru,3291.0
Japan,Côte d'Ivoire,3289.0
Ukraine,Viet Nam,3281.0
Poland,Nigeria,3272.0
Latvia,Uganda,3271.0
Croatia,Malta,3269.0
Myanmar,Malaysia,3269.0
United Kingdom,Greece,3264.0
Turkey,Bosnia and Herzegovina,3257.0
"China, mainland",United Arab Emirates,3240.0
Latvia,United Republic of Tanzania,3236.0
Turkey,Saudi Arabia,3233.0
France,Latvia,3231.0
Côte d'Ivoire,Mali,3229.0
Hungary,Japan,3229.0
Rwanda,United Republic of Tanzania,3210.0
Egypt,France,3202.0
Netherlands,Estonia,3200.0
Australia,"China, Macao SAR",3197.0
Kazakhstan,United Arab Emirates,3191.0
Serbia,Cyprus,3190.0
Sweden,Latvia,3188.0
Netherlands,Sierra Leone,3173.0
Costa Rica,Honduras,3171.0
Poland,Turkmenistan,3162.0
Ukraine,Switzerland,3158.0
Spain,Lithuania,3156.0
Italy,Sudan,3149.0
Lithuania,Belgium,3142.0
Kenya,Rwanda,3131.0
Pakistan,Poland,3131.0
Spain,Gabon,3129.0
Republic of Moldova,Poland,3120.0
Italy,Jordan,3120.0
Canada,Poland,3112.0
Guyana,Saint Vincent and the Grenadines,3101.0
Bulgaria,Ukraine,3099.0
Brazil,Ireland,3098.0
United Arab Emirates,Canada,3097.0
Pakistan,"China, Hong Kong SAR",3096.0
Lithuania,"China, Taiwan Province of",3087.0
United States of America,Cabo Verde,3087.0
United States of America,Marshall Islands,3085.0
Germany,Gabon,3082.0
Thailand,Ukraine,3080.0
Poland,Ghana,3079.0
Spain,Canada,3075.0
Lithuania,Mozambique,3071.0
Ecuador,Venezuela (Bolivarian Republic of),3069.0
Cambodia,Brunei Darussalam,3068.0
Spain,Lebanon,3065.0
United States of America,Norway,3056.0
"China, mainland",South Sudan,3054.0
Thailand,Mauritius,3052.0
Peru,Bolivia (Plurinational State of),3050.0
Netherlands,Comoros,3043.0
Lithuania,Ghana,3015.0
Bulgaria,Malta,3014.0
Myanmar,Japan,3009.0
Bulgaria,Jordan,3002.0
Turkey,Egypt,3000.0
Switzerland,"China, mainland",2997.0
Sweden,Ireland,2997.0
United Arab Emirates,Sudan,2990.0
New Zealand,Ghana,2986.0
Mexico,Cuba,2984.0
Canada,Burundi,2984.0
Sri Lanka,Maldives,2983.0
Netherlands,Norway,2981.0
New Zealand,"China, Macao SAR",2981.0
Netherlands,Serbia,2981.0
Belgium,Montenegro,2976.0
Paraguay,Cabo Verde,2974.0
Spain,Ukraine,2966.0
Kuwait,Saudi Arabia,2960.0
Pakistan,Ghana,2958.0
Italy,Iraq,2953.0
Netherlands,Brunei Darussalam,2952.0
France,Comoros,2949.0
Ukraine,Cameroon,2943.0
Argentina,Belgium,2940.0
Suriname,France,2929.0
Turkey,Jordan,2928.0
United Kingdom,Czechia,2926.0
Myanmar,United Kingdom,2912.0
South Africa,Madagascar,2910.0
Peru,Japan,2908.0
Viet Nam,Lebanon,2907.0
Ireland,Canada,2902.0
Slovakia,Slovenia,2899.0
Japan,Mongolia,2892.0
Egypt,Kuwait,2892.0
Serbia,Belarus,2888.0
Brazil,Kenya,2886.0
Belgium,Latvia,2884.0
Brazil,Uruguay,2877.0
Cambodia,Singapore,2873.0
Germany,Syrian Arab Republic,2868.0
Portugal,Ukraine,2864.0
United States of America,Mozambique,2858.0
Hungary,"China, Hong Kong SAR",2858.0
Belgium,Cyprus,2855.0
Turkey,Senegal,2854.0
El Salvador,Costa Rica,2854.0
Belgium,Australia,2845.0
Lithuania,Hungary,2836.0
Netherlands,Bahrain,2823.0
Republic of Moldova,Egypt,2822.0
Canada,Australia,2816.0
Czechia,Iraq,2813.0
Spain,Cabo Verde,2813.0
Greece,"China, Hong Kong SAR",2813.0
Syrian Arab Republic,Iraq,2806.0
Ukraine,Tajikistan,2802.0
Germany,Trinidad and Tobago,2795.0
Philippines,Viet Nam,2788.0
Serbia,Lebanon,2786.0
Switzerland,Austria,2780.0
Costa Rica,Panama,2777.0
France,Bahrain,2773.0
Viet Nam,Turkey,2770.0
Australia,Gabon,2768.0
Australia,Vanuatu,2766.0
Romania,Sweden,2765.0
Germany,Mali,2759.0
Viet Nam,Germany,2755.0
Kazakhstan,Tunisia,2754.0
Japan,"China, Taiwan Province of",2752.0
Canada,Tajikistan,2748.0
Sri Lanka,Singapore,2745.0
Belgium,Kazakhstan,2735.0
Pakistan,Denmark,2734.0
Zambia,Botswana,2731.0
Croatia,Germany,2728.0
Iceland,"China, Hong Kong SAR",2723.0
Denmark,Guam,2721.0
Australia,Australia,2720.0
Switzerland,Philippines,2713.0
Zambia,Rwanda,2704.0
Ukraine,Nigeria,2703.0
Estonia,Uganda,2703.0
New Zealand,Norway,2700.0
South Africa,"China, Hong Kong SAR",2699.0
"China, Taiwan Province of",United States of America,2695.0
Argentina,Cameroon,2694.0
Mozambique,Malawi,2687.0
Australia,Rwanda,2679.0
Hungary,Kuwait,2676.0
Somalia,United Arab Emirates,2674.0
New Zealand,Jamaica,2666.0
Australia,Madagascar,2655.0
Czechia,Slovenia,2645.0
Italy,Viet Nam,2642.0
Russian Federation,Canada,2642.0
Iceland,Russian Federation,2639.0
United Republic of Tanzania,United Arab Emirates,2638.0
Chile,Sweden,2637.0
Viet Nam,Thailand,2636.0
Turkey,Thailand,2631.0
Indonesia,Pakistan,2629.0
Switzerland,"China, Hong Kong SAR",2627.0
New Zealand,Malta,2625.0
Malawi,Zimbabwe,2619.0
Spain,Mexico,2616.0
Brazil,Haiti,2615.0
Brazil,Tajikistan,2613.0
Pakistan,Switzerland,2612.0
United Arab Emirates,Kenya,2610.0
"China, mainland",Albania,2610.0
Uruguay,Israel,2609.0
Spain,Albania,2608.0
Viet Nam,Belarus,2603.0
British Virgin Islands,Israel,2602.0
Lebanon,Djibouti,2600.0
Italy,Congo,2598.0
Sweden,Italy,2597.0
Uruguay,Guinea-Bissau,2597.0
United Kingdom,Malta,2597.0
Myanmar,Bulgaria,2593.0
Lithuania,Slovenia,2592.0
Australia,Bahamas,2590.0
Ukraine,Democratic Republic of the Congo,2588.0
Russian Federation,Finland,2583.0
Germany,Albania,2583.0
United Kingdom,Slovakia,2580.0
Argentina,Benin,2577.0
Portugal,Syrian Arab Republic,2574.0
Netherlands,Latvia,2570.0
Italy,Thailand,2562.0
"China, Taiwan Province of",Viet Nam,2562.0
Brunei Darussalam,Malaysia,2556.0
Panama,Iran (Islamic Republic of),2548.0
Ireland,United Arab Emirates,2543.0
France,North Macedonia,2536.0
Lithuania,Portugal,2534.0
Argentina,Ethiopia,2533.0
Netherlands,Guam,2523.0
Thailand,Ireland,2523.0
Kazakhstan,Denmark,2519.0
Senegal,Guinea-Bissau,2514.0
Latvia,Namibia,2507.0
Italy,Israel,2505.0
Thailand,Austria,2496.0
South Africa,Côte d'Ivoire,2494.0
Canada,Kazakhstan,2493.0
Australia,Ghana,2492.0
Bulgaria,Austria,2483.0
Australia,Barbados,2478.0
Belgium,Serbia,2477.0
Argentina,Brunei Darussalam,2466.0
